source_id,statut_source,organisme,jeu,url,format,couverture,frequence,derniere_verification,licence,classe_juridique,redistribution,variables_cles,geographie,qualite,methode_extraction,contact,passeport_id,statut_juridique,verdict_publication_libre,verdict_prestation_payante,attribution_requise
SRC-034,Intégrée,ACLED via HDX,Événements de violence politique et décès par commune et par mois,https://data.humdata.org/dataset/haiti-acled-conflict-data,XLSX (agrégats HDX),"140 communes × mois, 2018 → 13/08/2026 ; 7 929 événements",hebdomadaire,2026-08-14,conditions ACLED — attribution acleddata.com obligatoire,B — agrégats publics HDX ; conditions ACLED sur la feuille TOU scellée,agrégats citables avec attribution ACLED ; pas de revente des données brutes,"événements, décès, commune (p-code), mois",commune (p-codes fournis par ACLED),événements RAPPORTÉS — la couverture médiatique varie selon les zones,build_conjoncture.py — série mensuelle complète publiée,admin@acleddata.com,PSP-055,OUVERTE_NON_COMMERCIALE,OUI — consultation gratuite avec attribution visible,NON — aucune prestation facturée ne peut s'appuyer sur ACLED sans licence commerciale signée,"Oui — ACLED doit être « clairement et visiblement » cité, y compris sur toute donnée manipulée ou augmentée. Mention portée : « ACLED via HDX — acleddata.com »"
SRC-035,Intégrée,CNIGS via HaitiData (geoserver WFS),"Bassins versants SRTM 2014, sous-bassins, zones inondables, occupation du sol 1998","https://haitidata.org/geoserver/ows — WFS GetFeature, EPSG:4326",GeoJSON (WFS),31 bassins + 209 sous-bassins ; 129 zones inondables ; 2 308 polygones d'occupation (1998),figée (couches d'archive du géoportail),2026-08-14,données publiques CNIGS — attribution ; licence non déclarée couche par couche,"B — géoportail public national, capture scellée par empreintes",citable avec attribution CNIGS/HaitiData et date de téléchargement,"nom et code de bassin, classes d'occupation (desc_ocs), géométries",polygones — % communaux calculés par échantillonnage ~330 m (ordre de grandeur),zone_inondable sans méthode documentée (PAS un aléa probabiliste) ; occupation datée de 1998,"build_geo_publique.py — % inondable et % occupation par commune, couches web simplifiées",via cnigs.ht,,,,,
SRC-036,Intégrée,OpenStreetMap (contributeurs) via Overpass API,"Équipements de télécommunication d'Haïti — pylônes et mâts de communication, boutiques mobiles, bureaux d'opérateur, accès internet public",https://overpass-api.de/api/interpreter,JSON Overpass (requête archivée dans la zone source),"498 équipements retenus dans 81 communes sur 140 — cartographie contributive, ni exhaustive ni homogène","continue (OSM), extraction à la demande",2026-08-15,ODbL,C — partage à l'identique exigé pour toute base dérivée,autorisée avec attribution « © contributeurs OpenStreetMap » et partage à l'identique de la base dérivée,"operator, man_made, tower:type, mast:type, shop, office, amenity, telecom, name","coordonnées OSM, affectées aux communes par point-dans-polygone COD-AB","comptage contributif — mesure autant l'effort de cartographie que le parc réel ; le parc des opérateurs n'est publié ni par Digicel, ni par Natcom, ni par le CONATEL","build_telecom_communes.py — empreinte SHA-256 vérifiée, requête Overpass archivée, tours d'observation et clochers écartés",https://www.openstreetmap.org/copyright,,,,,
SRC-047,Intégrée,Ministère de l'Économie et des Finances — Direction générale du budget,"Répartition géographique des crédits budgétaires, exercice 2025-2026 (annexes du budget général, page 73)",https://www.mef.gouv.ht/,,,,2026-08-17,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes administratifs et simples données hors protection)","A — licence ouverte, lue à la source",Oui — hors protection,,,,Voir le passeport PSP-047,"Le Moniteur, journal officiel de la République d'Haïti",PSP-047,OUVERTE_VALIDEE,"OUI — publication libre, budget voté de la République",OUI — aucune restriction commerciale ne pèse sur un texte administratif,Non exigée par la loi ; Atmart cite la source par principe
SRC-048,Intégrée,Ministère de la Santé publique et de la Population (MSPP),"Registre des établissements de santé d'Haïti — 1 033 établissements géolocalisés, catégorie, statut, commune",https://cartesanitaire.sisnu.net/cartographie,,,,2026-08-17,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes administratifs et simples données hors protection)","A — licence ouverte, lue à la source",Oui — hors protection,,,,Voir le passeport PSP-048,Carte sanitaire — cartesanitaire.sisnu.net (outil officiel du MSPP),PSP-048,OUVERTE_VALIDEE,"OUI — registre public d'établissements de santé, publié par le ministère pour consultation",OUI — aucune restriction commerciale sur un registre administratif,Non exigée par la loi ; Atmart cite le MSPP par principe
SRC-051,Intégrée,Ministère du Tourisme et des Industries créatives (MTIC),Classification Hibiscus des établissements d'hébergement (2013-2015) — résultats par région et par rang,https://tourisme.gouv.ht/images/all_medias/Resultatsparregions.pdf (+ classificationnewhibisbus.pdf),PDF,"190 établissements classés, 10 départements, 52 localités ; 39 communes identifiées",aucune mise à jour depuis 2015,2026-08-21,"Sans objet — document administratif d'un ministère. Le pied de page porte « © 2020 Ministère du Tourisme, Haiti. Tous droits réservés », formule de gabarit sans effet sur ce que l'article 5 exclut.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5, qui exclut les textes officiels des autorités publiques et les simples données","Libre. Nous publions l'agrégat communal ; le PDF et la liste nominative ne sont pas mis en miroir, par règle de publication maison et non par contrainte.","département, localité, établissement, note Hibiscus 1 à 5","localité nommée en clair ; rattachement à la commune par le nom, 13 localités infra-communales laissées non rattachées","inventaire administratif : ce qui est CLASSÉ, pas ce qui existe ; millésime 2013-2015, aucun successeur publié","build_hibiscus.py — lecture du PDF, contrôlée contre les dix totaux départementaux du document",info@tourisme.gouv.ht,PSP-062,HORS_CHAMP_DROIT_AUTEUR,OUI — agrégat communal seulement,"OUI — les décomptes et les notes sont hors du champ du droit d'auteur et peuvent entrer dans une prestation facturée, avec attribution au MTIC.","Oui — Ministère du Tourisme et des Industries créatives (MTIC), classification Hibiscus 2013-2015"
SRC-052,Intégrée,IHSI — Institut Haïtien de Statistique et d'Informatique,"Indice des prix à la consommation (IPC), base 100 en 2017-2018 — ventilation en cinq régions",https://www.ihsi.gouv.ht/statistiques/statistiques_economiques/ipc,HTML (tableaux) ; bulletins mensuels en PDF,"national, 12 divisions COICOP, 5 régions ; bulletins mensuels de mai 2020 à juin 2026",mensuelle,2026-08-21,"Sans objet — données publiques d'un établissement public. Le pied de page porte « IHSI © Copyright 2026. Tous droits réservés », formule de gabarit sans effet sur ce que l'article 5 exclut.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5, qui exclut les textes officiels des autorités publiques et les simples données","Libre. Nous publions l'agrégat régional rattaché aux communes ; la capture du bulletin n'est pas mise en miroir, par règle de publication maison et non par contrainte.","indice général, 12 divisions COICOP, produits locaux et importés, 5 régions, variations mensuelle et annuelle","cinq régions ; l'Aire Métropolitaine est définie par SEPT COMMUNES NOMMÉES, les quatre autres par départements. Ce découpage ne recoupe pas les dix départements administratifs.","indice officiel ; prix relevés EN ZONE URBAINE seulement, pondérations ECVMAS 2011-2012 non actualisées depuis","build_ipc_regions.py — lecture du tableau régional de la page HTML, reconnu par son en-tête et non par sa position",info@ihsi.gouv.ht,PSP-063,HORS_CHAMP_DROIT_AUTEUR,OUI — indice régional rattaché aux communes,"OUI — les valeurs d'indice sont hors du champ du droit d'auteur et peuvent entrer dans une prestation facturée, avec attribution à l'IHSI.","Oui — IHSI, Indice des prix à la consommation, base 100 en 2017-2018"
SRC-053,Intégrée,BRH — Banque de la République d'Haïti,"Listes d'agrément de la supervision bancaire : banques, maisons de transfert, bureaux de change, paiement électronique, microfinance, caisses populaires",https://www.brh.ht/supervision-bancaire/liste-des-banques/ (+ 7 pages de catégories et liste_caisses.pdf),HTML + PDF,26 institutions agréées avec siège ; 58 caisses populaires avec siège et comptoirs,au fil des agréments ; la liste des caisses date de mars 2025,2026-08-21,"Sans objet — actes administratifs d'une autorité publique. Les mentions légales portent une clause explicite de non-recopie du SITE, qui ne porte pas sur les faits constatés.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5 (textes officiels et simples données)",Libre pour les faits. Nous publions la liste des institutions et le rattachement communal des caisses ; aucune page du site n'est mise en miroir.,"institution, catégorie d'agrément, adresse du siège, nombre de comptoirs, fédération",siège seulement ; la BRH ne publie AUCUN répertoire d'agences. Sa cartographie des points financiers existe mais son export est désactivé.,acte administratif ; la page des banques listait encore Citibank en août 2026 alors que la SNIF de la BRH indique son retrait en 2024 — la liste n'est pas tenue à jour au jour le jour,"build_finance_agrements.py — pages HTML par catégorie, PDF des caisses lu par coordonnées (find_tables)",info@brh.ht,PSP-064,HORS_CHAMP_DROIT_AUTEUR,OUI — liste des institutions et rattachement communal des caisses,OUI — avec attribution à la BRH.,"Oui — BRH, listes d'agrément de la supervision bancaire"
SRC-054,Intégrée,"ONU DESA — Division de la population, Département des affaires économiques et sociales des Nations unies","International Migrant Stock 2024 — effectifs de migrants internationaux par sexe, pays de destination et pays d'origine",https://www.un.org/development/desa/pd/content/international-migrant-stock,,,,2026-08-23,"CC BY 3.0 IGO — mention portée dans le classeur lui-même : « Copyright © 2024 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO »",A — redistribution autorisée avec attribution,"Oui, avec attribution",,,,Voir le passeport PSP-065,Nations unies (un.org/development/desa/pd),PSP-065,OUVERTE_AVEC_ATTRIBUTION,"OUI — extraction de l'origine Haïti, publiée avec sa provenance",OUI,"Oui — « United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024 », avec la mention des transformations opérées (sélection de l'origine Haïti, mise en forme longue)"
SRC-055,Intégrée,"OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le Groupe d'appui aux rapatriés et aux réfugiés (GARR)","Suivi des retours forcés vers Haïti — comptage aux points d'entrée, série mensuelle depuis 2021, fiches annuelles",https://dtm.iom.int/haiti,,,,2026-08-23,Conditions d'utilisation de l'OIM — mêmes termes que PSP-056,"B — clarification demandée au producteur, publication sous réserve","En cours de clarification — l'Explorateur ne remet en miroir aucun rapport ni aucun PDF : il publie les valeurs relevées, avec leur provenance et l'empreinte de la capture",,,,Voir le passeport PSP-066,dtm.iom.int,PSP-066,CLARIFICATION_DEMANDEE,"OUI — sous réserve, comme PSP-056 : valeurs relevées et rattachées, jamais le rapport lui-même",Sous conditions — à trancher avec la réponse de l'OIM,"Oui — « OIM, Displacement Tracking Matrix, avec l'ONM et le GARR ; Suivi des retours forcés vers Haïti » avec la date du relevé"
SRC-056,Intégrée,U.S. Department of Homeland Security — Office of Homeland Security Statistics (OHSS),"Key Homeland Security Metrics — Repatriations : renvois par exercice, mois, type, citoyenneté, statut pénal et agence",https://ohss.dhs.gov/khsm/dhs-repatriations,,,,2026-08-23,"Domaine public — œuvre du gouvernement fédéral des États-Unis, 17 U.S.C. § 105 : aucune protection par le droit d'auteur","A — licence ouverte, lue à la source","Oui — œuvre du gouvernement fédéral, hors protection",,,,Voir le passeport PSP-067,ohss.dhs.gov,PSP-067,OUVERTE_VALIDEE,OUI,OUI,"Non exigée par la loi ; Atmart cite « U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations » par principe méthodologique"
SRC-057,Intégrée,OpenStreetMap — contributeurs,"Lieux de culte d'Haïti — extraction amenity=place_of_worship, avec religion et dénomination quand elles sont renseignées",https://www.openstreetmap.org/copyright,,,,2026-08-24,ODbL 1.0 — Open Database License,A — licence ouverte ; partage à l'identique des bases dérivées,"Oui, sous la même licence",,,,Voir le passeport PSP-068,Overpass API (overpass-api.de),PSP-068,OUVERTE_AVEC_PARTAGE_IDENTIQUE,OUI,OUI — mais le PARTAGE À L'IDENTIQUE suit : une base dérivée remise à un client reste sous ODbL et ne peut pas être fondue dans un livrable sous licence fermée,"Oui — « © contributeurs OpenStreetMap », avec mention que les données ont été modifiées (rattachement communal et agrégation par Atmart)"
SRC-058,Intégrée,CONATEL — Conseil National des Télécommunications,"Liste des stations de radiodiffusion autorisées par département, 2023-2024 — radio FM, radio AM et télévision",https://conatel.gouv.ht/,,,,2026-08-24,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5",Oui — hors protection,,,,Voir le passeport PSP-069,conatel.gouv.ht,PSP-069,HORS_CHAMP_DROIT_AUTEUR,OUI — liste des stations autorisées et rattachement communal,OUI,"Non exigée par la loi ; Atmart cite « CONATEL, liste des stations de radiodiffusion autorisées 2023-2024 » par principe méthodologique"
SRC-059,Intégrée,Kepios Pte. Ltd.,"Digital 2026: Haiti — audiences par plateforme (Facebook, TikTok, Instagram, LinkedIn), pénétration d'Internet, profil par âge et par sexe",https://datareportal.com/citation,,,,2026-08-24,Contenu sous droit d'auteur de Kepios Pte. Ltd. La page « Citation & Republication » encadre la reprise des PAGES et des GRAPHIQUES ; elle recommande par ailleurs une forme de CITATION pour référencer les rapports.,D — écartée du catalogue,NON dans la forme qui est la nôtre. Seule la republication de pages entières est permise ; l'Explorateur publie des agrégats recalculés dans sa propre présentation.,,,,Voir le passeport PSP-070,DataReportal.com (avec We Are Social et Meltwater),PSP-070,UTILISABLE_POUR_ANALYSE_SANS_REDISTRIBUTION,"OUI — valeurs citées avec attribution et lien, jamais leurs pages ni leurs graphiques",OUI pour la citation. Reproduire une page ou un graphique dans un livrable dont l'accès est payant demanderait leur accord et une redevance.,"Oui — forme recommandée par le producteur : « We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from datareportal.com », avec un lien vers la page du rapport"
SRC-060,Intégrée,BRH — Banque de la République d'Haïti,"Transferts sans contrepartie reçus et expédiés, par pays et par mois",https://www.brh.ht/statistiques/bdp-et-commerce-exterieur/,,,,2026-08-25,"Aucune licence ouverte déclarée. Les mentions légales du site portent « ne pas recopier tout ou partie du site sur un autre site ou un réseau interne d'entreprise » — clause qui vise la reprise des PAGES et des FICHIERS, pas les faits qu'ils énoncent.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5","Les faits sont libres (décret du 12/10/2005, art. 5, qui exclut du droit d'auteur les textes officiels des autorités publiques et les simples données). Aucun fichier de la BRH n'est redistribué : les captures restent dans leur zone de source, sous empreinte.",,,,Voir le passeport PSP-071,brh.ht,PSP-071,HORS_CHAMP_DROIT_AUTEUR,OUI — série mensuelle par pays d'origine et de destination,OUI — avec attribution à la BRH.,"Oui — BRH, statistiques de la balance des paiements"
SRC-061,Intégrée,BRH — Banque de la République d'Haïti,"BRH-Infos à la loupe n° 1 — transferts sans contrepartie : tendance, distribution et dynamique du marché",https://www.brh.ht/wp-content/uploads/Transferts-sans-contreparties-tendance-distribution-et-dynamique-du-marche.pdf,,,,2026-08-25,"Aucune licence ouverte déclarée. Les mentions légales du site portent « ne pas recopier tout ou partie du site sur un autre site ou un réseau interne d'entreprise » — clause qui vise la reprise des PAGES et des FICHIERS, pas les faits qu'ils énoncent.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5","Les faits sont libres (décret du 12/10/2005, art. 5, qui exclut du droit d'auteur les textes officiels des autorités publiques et les simples données). Aucun fichier de la BRH n'est redistribué : les captures restent dans leur zone de source, sous empreinte.",,,,Voir le passeport PSP-072,brh.ht,PSP-072,HORS_CHAMP_DROIT_AUTEUR,"OUI — répartition des transferts par département, reçus et expédiés",OUI — avec attribution à la BRH.,"Oui — BRH, « BRH-Infos à la loupe » n° 1, avril 2024"
SRC-062,Intégrée,BRH — Banque de la République d'Haïti,Rapports statistiques trimestriels de la supervision bancaire,https://www.brh.ht/supervision-bancaire/rapports-statistiques-2/,,,,2026-08-25,"Aucune licence ouverte déclarée. Les mentions légales du site portent « ne pas recopier tout ou partie du site sur un autre site ou un réseau interne d'entreprise » — clause qui vise la reprise des PAGES et des FICHIERS, pas les faits qu'ils énoncent.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5","Les faits sont libres (décret du 12/10/2005, art. 5, qui exclut du droit d'auteur les textes officiels des autorités publiques et les simples données). Aucun fichier de la BRH n'est redistribué : les captures restent dans leur zone de source, sous empreinte.",,,,Voir le passeport PSP-073,brh.ht,PSP-073,HORS_CHAMP_DROIT_AUTEUR,"OUI — ratios prudentiels et de rentabilité par banque, et répartition des dépôts entre région métropolitaine et villes de province",OUI — avec attribution à la BRH.,"Oui — BRH, Direction de la supervision des banques et des institutions financières"
SRC-063,Intégrée,BRH — Banque de la République d'Haïti,Sommaire financier détaillé du système bancaire (indicateurs CAMEL),https://www.brh.ht/supervision-bancaire/rapports-statistiques-2/,,,,2026-08-25,"Aucune licence ouverte déclarée. Les mentions légales du site visent la reprise des PAGES et des FICHIERS, pas les faits.","A — hors du champ du droit d'auteur : décret du 12/10/2005, art. 5","Les faits sont libres (décret du 12/10/2005, art. 5). Aucun PDF n'est redistribué.",,,,Voir le passeport PSP-075,brh.ht,PSP-075,HORS_CHAMP_DROIT_AUTEUR,"OUI — réseau, effectifs, comptes et dollarisation, banque par banque",OUI — avec attribution à la BRH.,"Oui — BRH, sommaire financier détaillé du système bancaire"
SRC-064,Intégrée,FAO — Organisation des Nations unies pour l'alimentation et l'agriculture,"Data in Emergencies Monitoring (DIEM) — revenus, chocs et besoins",https://data.humdata.org/dataset/e9942071-bf80-4216-9175-044720b82e6f,,,,2026-08-25,"CC BY 4.0, avec les conditions d'utilisation des bases statistiques de la FAO",A — redistribution autorisée avec attribution,"Oui, attribution faite — c'est la seule source de ce chantier qui pourrait être redistribuée telle quelle.",,,,Voir le passeport PSP-076,data.humdata.org,PSP-076,OUVERTE_AVEC_ATTRIBUTION,OUI — part des ménages par département,OUI — avec attribution à la FAO.,"Oui — FAO, Data in Emergencies Monitoring (DIEM), Haïti, tours 4 à 6"
SRC-065,Intégrée,CAM Transfer — maison de transfert agréée par la BRH,Répertoire public des points de service en Haïti,https://www.camtransfer.com/gb/en/gb/MTS/Locations,,,,2026-08-25,"Aucune licence déclarée. Répertoire publié par l'opérateur pour que ses clients trouvent où retirer leur argent, servi par un point d'accès public sans authentification.","C — analyse et agrégats autorisés, redistribution du fichier interdite","NON pour le répertoire lui-même. OUI pour le DÉCOMPTE par commune, qui est un agrégat recalculé et non une reprise d'expression — même raisonnement que pour Comtrade (PSP-061) et l'OIM (PSP-056).",,,,Voir le passeport PSP-074,camtransfer.com,PSP-074,UTILISABLE_POUR_ANALYSE_SANS_REDISTRIBUTION,"OUI — le décompte de points par commune ET l'annuaire des points de service, sans les téléphones","OUI pour l'agrégat, avec attribution.","Oui — CAM Transfer, répertoire public des points de service, relevé le 25/08/2026"
SRC-ATM-001,Intégrée,Atmart Data,"Concordance des sources par commune (santé, écoles, population)",https://explorateur.atmart.ltd/data/atmart_concordance.json,,,,2026-08-18,"CC BY 4.0 — attribution « Atmart Data, Explorateur Haïti » ; les sources confrontées gardent chacune leur propre licence",A — redistribution autorisée avec attribution,Oui,,,,Voir le passeport PSP-049,Atmart Data — explorateur.atmart.ltd,PSP-049,OUVERTE_AVEC_ATTRIBUTION,"OUI — production Atmart sur des sources ouvertes, aucune restriction héritée",OUI — c'est le socle de la prestation « Atmart Vérifié »,"Oui — « Atmart Data, Explorateur Haïti » et la date du calcul"
SRC-COMTRADE,Intégrée,Division de statistique des Nations unies (UNSD),Statistiques du commerce international de marchandises — Haïti,https://uncomtrade.org/docs/policy-on-use-and-re-dissemination/,,,,2026-08-19,"Conditions UNSD : données protégées par le droit d'auteur des Nations unies, mises à disposition pour un usage interne ; la REDISSÉMINATION est définie par l'UNSD comme la réutilisation « as-is, without any transformation ». Un agrégat substantiellement différent n'en relève pas","C — analyse et agrégats autorisés, redistribution du fichier interdite","NON pour les données telles quelles ; OUI pour un agrégat substantiellement différent, avec mention « UN Comtrade »",,,,Voir le passeport PSP-061,UN Comtrade,PSP-061,UTILISABLE_POUR_ANALYSE_SANS_REDISTRIBUTION,"OUI — agrégats recalculés seulement, jamais l'extraction brute",OUI — sous réserve que le livrable porte des agrégats substantiellement différents et cite « UN Comtrade »,Oui — citer la source comme « UN Comtrade »
SRC-FAOSTAT,Intégrée,FAO — Organisation des Nations unies pour l'alimentation et l'agriculture,Sécurité alimentaire et usage des terres — Haïti,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,,,,2026-08-18,CC BY 4.0 — avec la clause additionnelle de la FAO : « Datasets shall not be used for or in conjunction with the promotion of a commercial enterprise »,"B — ouverte, usage commercial restreint par le producteur",Oui,,,,Voir le passeport PSP-059,FAOSTAT (téléchargement en vrac),PSP-059,OUVERTE_NON_COMMERCIALE,OUI,"OUI — sous réserve de ne jamais employer ces chiffres dans une plaquette, une page de vente ou une démonstration commerciale d'Atmart",Oui — « FAO. 2026. FAOSTAT. Licence: CC-BY-4.0 » avec la date de consultation
SRC-ILOSTAT,Intégrée,OIT — Organisation internationale du Travail,"Emploi, chômage, activité et informalité — Haïti",https://www.ilo.org/rights-and-permissions,,,,2026-08-19,"CC BY 4.0 — appliquée aux bases de données et jeux de données de l'OIT depuis le 3 mai 2023, métadonnées de référence comprises",A — redistribution autorisée avec attribution,Oui,,,,Voir le passeport PSP-060,ILOSTAT,PSP-060,OUVERTE_AVEC_ATTRIBUTION,OUI,OUI — avec attribution,Oui — l'OIT doit être citée comme source
